gb	strain_name	segment	date	host	country	strain
KF429774	Hu/GI.1/8UIIIf/1973/USA	NA	1973-09-14	Human	USA	KF429774
KF429773	Hu/GI.1/8CKIIIc/1974/USA	NA	1974-02-13	Human	USA	KF429773
KF429769	Hu/GII.2/SnowMountRS/1975/USA	NA	1975-02-27	Human	USA	KF429769
KF429783	Hu/GI.1/8K/1979/USA	NA	1979-04-21	Human	USA	KF429783
JX448566	Hu/GII.4/Seoul/1071/2010/KOR	NA	2010-05-13	Human	South_Korea	JX448566
KF429789	Hu/GI.1/8MC/1978/USA	NA	1978-12-01	Human	USA	KF429789
KF429761	Hu/GI.1/8MoIIIL/1972/USA	NA	1972-06-21	Human	USA	KF429761
KF429792	Hu/GII.4/NIHIC1.6/2012/USA	NA	2012-01-14	Human	USA	KF429792
KF039726	Hu/GI.1/CHA6A003_20091031/2009/USA	NA	2009-10-31	Human	USA	KF039726
KF039730	Hu/GI.1/CHA9A004_20110419/2011/USA	NA	2011-04-19	Human	USA	KF039730
KF712503	Hu/GII.4/NIHIC28.3/2012/USA	NA	2012-07-02	Human	USA	KF712503
KF712496	Hu/GII.4/NIHIC2.3/2010/USA	NA	2010-06-24	Human	USA	KF712496
KF712510	Hu/GII.4/NIHIC2.2/2010/USA	NA	2010-06-23	Human	USA	KF712510
KF712506	Hu/GII.4/NIHIC1.12/2012/USA	NA	2012-10-16	Human	USA	KF712506
KF429787	Hu/GII.4/NIHIC28.5/2012/USA	NA	2012-08-10	Human	USA	KF429787
KC576912	Hu/GII.4/NIHIC4.1/2011/USA	NA	2011-01-31	Human	USA	KC576912
KF712495	Hu/GII.4/NIHIC17.3/2012/USA	NA	2012-07-19	Human	USA	KF712495
KF712509	Hu/GII.6/NIHIC34.1/2013/USA	NA	2013-02-04	Human	USA	KF712509
KC597138	Hu/GII.2/CHDC2596/1975/USA	NA	1975-01-17	Human	USA	KC597138
KF039729	Hu/GI.1/CHA6A007/2010/USA	NA	2010-04-18	Human	USA	KF039729
KF712507	Hu/GII.4/NIHIC1.11/2012/USA	NA	2012-10-15	Human	USA	KF712507
KF712502	Hu/GII.4/NIHIC35/2013/USA	NA	2013-02-04	Human	USA	KF712502
KF712492	Hu/GII.4/NIHIC1.8/2012/USA	NA	2012-07-31	Human	USA	KF712492
KF712504	Hu/GII.4/NIHIC11.3/2013/USA	NA	2013-01-08	Human	USA	KF712504
KF039727	Hu/GI.1/CHA6A003_20091028/2009/USA	NA	2009-10-28	Human	USA	KF039727
KF039731	Hu/GI.1/CH4XO533/2009/USA	NA	2009-10-13	Human	USA	KF039731
KF429767	Hu/GII.4/NIHIC28.2/2012/USA	NA	2012-06-22	Human	USA	KF429767
KF429768	Hu/GII.4/NIHIC1.13/2012/USA	NA	2012-10-20	Human	USA	KF429768
KC409317	Hu/GI/30257/2009/VNM	NA	2009-10-30	Human	Vietnam	KC409317
KF039736	Hu/GI.1/CHA7A011/2010/USA	NA	2010-09-27	Human	USA	KF039736
KF586507	CAIQ12110628	NA	2012-11-06	Human	China	KF586507
KF712494	Hu/GII.4/NIHIC1.7/2012/USA	NA	2012-04-27	Human	USA	KF712494
KF429782	Hu/GII.4/NIHIC1.3/2010/USA	NA	2010-09-28	Human	USA	KF429782
KF429785	Hu/GII.4/NIHIC17.2/2012/USA	NA	2012-07-16	Human	USA	KF429785
KF429791	Hu/GII.4/NIHIC1.5/2011/USA	NA	2011-12-20	Human	USA	KF429791
KF429763	Hu/GII.4/NIHIC11.1/2011/USA	NA	2011-11-22	Human	USA	KF429763
KF429777	Hu/GII.4/NIHIC27.1/2012/USA	NA	2012-03-19	Human	USA	KF429777
KF039725	Hu/GI.1/CHA7A009/2010/USA	NA	2010-09-26	Human	USA	KF039725
KF039732	Hu/GI.1/CHA5A010/2009/USA	NA	2009-10-25	Human	USA	KF039732
KF429760	Hu/GII.4/NIHIC28.4/2012/USA	NA	2012-07-14	Human	USA	KF429760
KF429771	Hu/GII.4/NIHIC22/2012/USA	NA	2012-02-28	Human	USA	KF429771
JX846925	Hu/GII.2/KL109/1978/MYS	NA	1978-05-30	Human	Malaysia	JX846925
KF039735	Hu/GI.1/CHA3A007/2008/USA	NA	2008-10-05	Human	USA	KF039735
JX846924	Hu/GII.3/HK71/1978/CHN	NA	1978-01-05	Human	China	JX846924
KF429765	Hu/GI.1/8W/1968/USA	NA	1968-XX-XX	Human	USA	KF429765
JX846928	Hu/GII.4/NIHIC9/2011/USA	NA	2011-06-14	Human	USA	JX846928
KF429790	Hu/GII.4/NIHIC17.5/2012/USA	NA	2012-05-09	Human	USA	KF429790
KF429788	Hu/GII.4/NIHIC20/2012/USA	NA	2012-02-22	Human	USA	KF429788
KF429762	Hu/GII.4/NIHIC17.7/2012/USA	NA	2012-10-24	Human	USA	KF429762
KC576909	Hu/GII.4/NIHIC4.2/2011/USA	NA	2011-03-10	Human	USA	KC576909
KF712493	Hu/GII.4/NIHIC1.10/2012/USA	NA	2012-08-28	Human	USA	KF712493
KF712508	Hu/GII.4/NIHIC28.6/2012/USA	NA	2012-12-18	Human	USA	KF712508
KF712505	Hu/GII.4/NIHIC17.4/2012/USA	NA	2012-07-24	Human	USA	KF712505
KF712501	Hu/GII.4/NIHIC17.6/2012/USA	NA	2012-09-18	Human	USA	KF712501
KF039734	Hu/GI.1/CHA6A014/2009/USA	NA	2009-10-22	Human	USA	KF039734
KF039737	Hu/GI.1/CHA6A003_20091104/2009/USA	NA	2009-11-04	Human	USA	KF039737
KF712491	Hu/GII.4/NIHIC17.8/2013/USA	NA	2013-01-14	Human	USA	KF712491
KF429766	Hu/GII.4/NIHIC13/2011/USA	NA	2011-12-20	Human	USA	KF429766
KF039728	Hu/GI.1/CHA2A014/2008/USA	NA	2008-05-05	Human	USA	KF039728
KF429779	Hu/GII.4/NIHIC28.1/2012/USA	NA	2012-02-04	Human	USA	KF429779
KF712499	Hu/GII.4/NIHIC1.16/2012/USA	NA	2012-10-25	Human	USA	KF712499
KF712497	Hu/GII.4/NIHIC27.2/2012/USA	NA	2012-04-06	Human	USA	KF712497
KF429778	Hu/GII.4/NIHIC18.1/2012/USA	NA	2012-02-18	Human	USA	KF429778
KF429776	Hu/GII.4/NIHIC17.1/2012/USA	NA	2012-02-17	Human	USA	KF429776
KF429772	Hu/GII.4/NIHIC27.3/2012/USA	NA	2012-04-22	Human	USA	KF429772
KF712500	Hu/GII.4/NIHIC1.14/2012/USA	NA	2012-10-21	Human	USA	KF712500
KC597143	Hu/GII.4/NIHIC1.2/2010/USA	NA	2010-04-01	Human	USA	KC597143
KF712498	Hu/GII.4/NIHIC17.9/2013/USA	NA	2013-03-17	Human	USA	KF712498
KF039733	Hu/GI.1/CHA9A004_20110426/2011/USA	NA	2011-04-26	Human	USA	KF039733
KC577175	Hu/GII.4/Jiangsu2/2012/CHN	NA	2012-11-XX	Human	China	KC577175
KC464499	Hu/GII.12/CGMH41/2010/TW	NA	2010-01-14	Human	Taiwan	KC464499
KC464497	Hu/GII.12/CGMH39/2010/TW	NA	2010-01-10	Human	Taiwan	KC464497
KC464505	Hu/GII.2/CGMH47/2011/TW	NA	2011-04-12	Human	Taiwan	KC464505
KC464498	Hu/GII.12/CGMH40/2010/TW	NA	2010-01-12	Human	Taiwan	KC464498
KC577174	Hu/GII.4/Jiangsu1/2011/CHN	NA	2011-10-XX	Human	China	KC577174
KC464500	Hu/GII.12/CGMH42/2010/TW	NA	2010-01-26	Human	Taiwan	KC464500
KC576915	Hu/GII.4/KL45/1978/MYS	NA	1978-03-23	Human	Malaysia	KC576915
KF429784	Hu/GII.4/NIHIC8.4/2012/USA	NA	2012-01-20	Human	USA	KF429784
KC576913	Hu/GII.4/C110/1978/GUF	NA	1978-04-04	Human	French_Guiana	KC576913
KC464496	Hu/GII.12/CGMH38/2010/TW	NA	2010-01-10	Human	Taiwan	KC464496
KF429780	Hu/GII.4/NIHIC8.5/2012/USA	NA	2012-05-03	Human	USA	KF429780
JX846927	Hu/GII.6/CHDC4073/1984/USA	NA	1984-12-08	Human	USA	JX846927
JN400611	UNKNOWN_JN400611	NA	2007-01-03	Human	Taiwan	JN400611
KC409289	Hu/GII/20302/2009/VNM	NA	2009-11-30	Human	Vietnam	KC409289
KC175390	Hu/Norwalk/20014/2009/VNM	NA	2009-05-14	Human	Vietnam	KC175390
JX459901	Hu/GII.4/Caringbah/NSW409G/2011/AU	NA	2011-10-XX	Human	Australia	JX459901
KC409273	Hu/GII/20196/2009/VNM	NA	2009-10-11	Human	Vietnam	KC409273
KC409315	Hu/GII/30211/2009/VNM	NA	2009-10-05	Human	Vietnam	KC409315
KC409251	Hu/GII/20146/2009/VNM	NA	2009-09-10	Human	Vietnam	KC409251
GU325839	Hu/GII.4/HS194/2009/US	NA	2009-XX-XX	Human	USA	GU325839
KC175345	Hu/Norwalk/10062/2009/VNM	NA	2009-05-29	Human	Vietnam	KC175345
KC409255	Hu/GII/20154/2009/VNM	NA	2009-09-16	Human	Vietnam	KC409255
KJ541743	SGU_110421	NA	2011-04-21	Human	South_Korea	KJ541743
KC175400	Hu/Norwalk/20092/2009/VNM	NA	2009-07-30	Human	Vietnam	KC175400
JN400613	UNKNOWN_JN400613	NA	2007-04-08	Human	Taiwan	JN400613
JN400622	UNKNOWN_JN400622	NA	2010-01-13	Human	Taiwan	JN400622
KC409256	Hu/GII/20156/2009/VNM	NA	2009-09-17	Human	Vietnam	KC409256
KC175365	Hu/Norwalk/10177/2009/VNM	NA	2009-09-14	Human	Vietnam	KC175365
JX989074	Hu/GII.4/GZ2010_L87/Guangzhou/CHN/2011	NA	2011-01-07	Human	China	JX989074
JN400617	UNKNOWN_JN400617	NA	2009-05-16	Human	Taiwan	JN400617
JQ613552	Hu/GII.4/NSW123B/2010/AU	NA	2010-08-XX	Human	Australia	JQ613552
KC175383	Hu/Norwalk/10325/2010/VNM	NA	2010-02-26	Human	Vietnam	KC175383
JX023286	Hu/GII.4/CHDC5191/1974/USA	NA	1974-07-10	Human	USA	JX023286
KC175353	Hu/Norwalk/10129/2009/VNM	NA	2009-07-19	Human	Vietnam	KC175353
JQ798158	Hu/GII.4/5M/USA/2004	NA	2004-XX-XX	Human	USA	JQ798158
KC175360	Hu/Norwalk/10162/2009/VNM	NA	2009-08-27	Human	Vietnam	KC175360
KC409314	Hu/GII/30207/2009/VNM	NA	2009-10-01	Human	Vietnam	KC409314
KC409286	Hu/GII/20263/2009/VNM	NA	2009-11-12	Human	Vietnam	KC409286
JN400608	UNKNOWN_JN400608	NA	2006-11-18	Human	Taiwan	JN400608
JQ911598	Hu/GII/10037/2009/VNM	NA	2009-05-14	Human	Vietnam	JQ911598
JN400615	UNKNOWN_JN400615	NA	2007-01-05	Human	Taiwan	JN400615
JN400610	UNKNOWN_JN400610	NA	2007-01-01	Human	Taiwan	JN400610
KC175408	Hu/Norwalk/20139/2009/VNM	NA	2009-09-08	Human	Vietnam	KC175408
HM748971	Hu/GII.4/NSW305P/2009/AU	NA	2009-XX-XX	Human	Australia	HM748971
KC960616	Hu/GII.4/20406/2010/VNM	NA	2010-01-24	Human	Vietnam	KC960616
KC409247	Hu/GII/20079/2009/VNM	NA	2009-07-23	Human	Vietnam	KC409247
KC409299	Hu/GII/20457/2010/VNM	NA	2010-03-02	Human	Vietnam	KC409299
KC175377	Hu/Norwalk/10238/2009/VNM	NA	2009-11-19	Human	Vietnam	KC175377
KC409316	Hu/GII/30212/2009/VNM	NA	2009-10-05	Human	Vietnam	KC409316
KC409243	Hu/GII/10411/2010/VNM	NA	2010-04-19	Human	Vietnam	KC409243
KC409252	Hu/GII/20150/2009/VNM	NA	2009-09-15	Human	Vietnam	KC409252
KC409284	Hu/GII/20248/2009/VNM	NA	2009-11-05	Human	Vietnam	KC409284
KC409260	Hu/GII/20164/2009/VNM	NA	2009-09-21	Human	Vietnam	KC409260
KC960618	Hu/GII.4/20290/2009/VNM	NA	2009-11-25	Human	Vietnam	KC960618
KC175364	Hu/Norwalk/10176/2009/VNM	NA	2009-09-13	Human	Vietnam	KC175364
JN400609	UNKNOWN_JN400609	NA	2006-11-05	Human	Taiwan	JN400609
KC409261	Hu/GII/20171/2009/VNM	NA	2009-09-23	Human	Vietnam	KC409261
JN400601	UNKNOWN_JN400601	NA	2006-10-10	Human	Taiwan	JN400601
JQ613568	Hu/GII.g_GII.12/Wahroonga/NSW004P/2009/AU	NA	2009-05-XX	Human	Australia	JQ613568
KC409264	Hu/GII/20176/2009/VNM	NA	2009-09-27	Human	Vietnam	KC409264
JX459907	Hu/GII.4/Woonona/NSW3309/2012/AU	NA	2012-05-XX	Human	Australia	JX459907
KC409305	Hu/GII/30026/2009/VNM	NA	2009-06-01	Human	Vietnam	KC409305
KC409263	Hu/GII/20173/2009/VNM	NA	2009-09-24	Human	Vietnam	KC409263
KC960610	Hu/GII.4/20238/2009/VNM	NA	2009-11-03	Human	Vietnam	KC960610
KC409281	Hu/GII/20229/2009/VNM	NA	2009-10-27	Human	Vietnam	KC409281
KC960614	Hu/GII.4/30116/2009/VNM	NA	2009-07-08	Human	Vietnam	KC960614
KC409249	Hu/GII/20108/2009/VNM	NA	2009-08-20	Human	Vietnam	KC409249
JN400626	UNKNOWN_JN400626	NA	2010-03-01	Human	Taiwan	JN400626
KC409253	Hu/GII/20151/2009/VNM	NA	2009-09-15	Human	Vietnam	KC409253
KC175380	Hu/Norwalk/10285/2010/VNM	NA	2010-01-18	Human	Vietnam	KC175380
JN400618	UNKNOWN_JN400618	NA	2009-12-31	Human	Taiwan	JN400618
KC013592	Hu/GII.4/HS191/2004/USA	NA	2004-XX-XX	Human	USA	KC013592
KC409294	Hu/GII/20373/2010/VNM	NA	2010-01-06	Human	Vietnam	KC409294
KC175384	Hu/Norwalk/10328/2010/VNM	NA	2010-03-01	Human	Vietnam	KC175384
KC409300	Hu/GII/20460/2010/VNM	NA	2010-03-03	Human	Vietnam	KC409300
KC175402	Hu/Norwalk/20094/2009/VNM	NA	2009-08-02	Human	Vietnam	KC175402
KC175366	Hu/Norwalk/10179/2009/VNM	NA	2009-09-15	Human	Vietnam	KC175366
KC409282	Hu/GII/20230/2009/VNM	NA	2009-10-27	Human	Vietnam	KC409282
KC175398	Hu/Norwalk/20067/2009/VNM	NA	2009-07-14	Human	Vietnam	KC175398
KC409239	Hu/GII/10127/2009/VNM	NA	2009-07-17	Human	Vietnam	KC409239
KC409242	Hu/GII/10406/2010/VNM	NA	2010-04-14	Human	Vietnam	KC409242
KC409265	Hu/GII/20180/2009/VNM	NA	2009-09-30	Human	Vietnam	KC409265
KC175368	Hu/Norwalk/10183/2009/VNM	NA	2009-09-22	Human	Vietnam	KC175368
KC409306	Hu/GII/30040/2009/VNM	NA	2009-06-04	Human	Vietnam	KC409306
FJ537138	Hu/GII.4/CHDC4871/1977/US	NA	1977-XX-XX	Human	USA	FJ537138
KC175358	Hu/Norwalk/10158/2009/VNM	NA	2009-08-20	Human	Vietnam	KC175358
KC409250	Hu/GII/20144/2009/VNM	NA	2009-09-09	Human	Vietnam	KC409250
KC175374	Hu/Norwalk/10223/2009/VNM	NA	2009-11-05	Human	Vietnam	KC175374
KC175392	Hu/Norwalk/20019/2009/VNM	NA	2009-05-19	Human	Vietnam	KC175392
KC175343	Hu/Norwalk/10051/2009/VNM	NA	2009-05-21	Human	Vietnam	KC175343
JX459904	Hu/GII.4/Doonside/NSW536I/2011/AU	NA	2011-08-XX	Human	Australia	JX459904
JN400625	UNKNOWN_JN400625	NA	2010-03-01	Human	Taiwan	JN400625
KC409262	Hu/GII/20172/2009/VNM	NA	2009-09-23	Human	Vietnam	KC409262
KC175410	Hu/Norwalk/20142/2009/VNM	NA	2009-09-09	Human	Vietnam	KC175410
KC409246	Hu/GII/20064/2009/VNM	NA	2009-07-10	Human	Vietnam	KC409246
KC409245	Hu/GII/20048/2009/VNM	NA	2009-06-21	Human	Vietnam	KC409245
KC597146	Hu/GII.6/CHDC2685/1975/USA	NA	1975-02-08	Human	USA	KC597146
JX459903	Hu/GII.4/Jannali/NSW774M/2011/AU	NA	2011-02-XX	Human	Australia	JX459903
JQ613567	Hu/GIV.1/LakeMacquarie/NSW268O/2010/AU	NA	2010-12-XX	Human	Australia	JQ613567
JN400605	UNKNOWN_JN400605	NA	2006-10-23	Human	Taiwan	JN400605
KC409297	Hu/GII/20424/2010/VNM	NA	2010-02-03	Human	Vietnam	KC409297
KC409308	Hu/GII/30112/2009/VNM	NA	2009-07-06	Human	Vietnam	KC409308
KF306212	Hu/GI.2/Jingzhou/2013401/CHN	NA	2013-04-XX	Human	China	KF306212
KC175342	Hu/Norwalk/10034/2009/VNM	NA	2009-05-14	Human	Vietnam	KC175342
FJ537136	Hu/GII.4/CHDC3967/1988/US	NA	1988-XX-XX	Human	USA	FJ537136
KC409295	Hu/GII/20407/2010/VNM	NA	2010-01-26	Human	Vietnam	KC409295
JN595867	Hu/GII.4/New_Orleans/2010/USA	NA	2010-05-XX	Human	USA	JN595867
JN400602	UNKNOWN_JN400602	NA	2006-10-18	Human	Taiwan	JN400602
GU980585	CBNU1	NA	2006-XX-XX	Human	South_Korea	GU980585
KC175356	Hu/Norwalk/10145/2009/VNM	NA	2009-08-06	Human	Vietnam	KC175356
KC597142	Hu/GII.3/NIHIC5.2/2011/USA	NA	2011-03-10	Human	USA	KC597142
KC175405	Hu/Norwalk/20123/2009/VNM	NA	2009-08-31	Human	Vietnam	KC175405
KC175378	Hu/Norwalk/10247/2009/VNM	NA	2009-12-10	Human	Vietnam	KC175378
KC175352	Hu/Norwalk/10116/2009/VNM	NA	2009-07-08	Human	Vietnam	KC175352
JX459908	Hu/GII.4/Sydney/NSW0514/2012/AU	NA	2012-03-XX	Human	Australia	JX459908
KC409244	Hu/GII/10420/2010/VNM	NA	2010-04-27	Human	Vietnam	KC409244
KC175371	Hu/Norwalk/10203/2009/VNM	NA	2009-10-27	Human	Vietnam	KC175371
KC409266	Hu/GII/20182/2009/VNM	NA	2009-10-04	Human	Vietnam	KC409266
KC175354	Hu/Norwalk/10136/2009/VNM	NA	2009-08-03	Human	Vietnam	KC175354
KC175359	Hu/Norwalk/10160/2009/VNM	NA	2009-08-26	Human	Vietnam	KC175359
KC409285	Hu/GII/20258/2009/VNM	NA	2009-11-11	Human	Vietnam	KC409285
JX459900	Hu/GII.4/Randwick/NSW882J/2011/AU	NA	2011-10-XX	Human	Australia	JX459900
HQ449728	Hu/GII.12/HS210/2010/USA	NA	2010-XX-XX	Human	USA	HQ449728
KC409288	Hu/GII/20276/2009/VNM	NA	2009-11-17	Human	Vietnam	KC409288
KC175393	Hu/Norwalk/20033/2009/VNM	NA	2009-05-29	Human	Vietnam	KC175393
JN400619	UNKNOWN_JN400619	NA	2010-01-05	Human	Taiwan	JN400619
JN400599	UNKNOWN_JN400599	NA	2006-01-13	Human	Taiwan	JN400599
KC597139	Hu/GII.17/C142/1978/GUF	NA	1978-07-11	Human	French_Guiana	KC597139
JQ613573	Hu/GII.4/Helensburgh/NSW295E/2010/AU	NA	2010-11-XX	Human	Australia	JQ613573
JQ613572	Hu/GII.4/StVincents/NSW217I/2010/AU	NA	2010-04-XX	Human	Australia	JQ613572
JX459902	Hu/GII.4/Berowra/NSW767L/2012/AU	NA	2012-03-XX	Human	Australia	JX459902
GU445325	Hu/GII.4/New_Orleans1805/2009/USA	NA	2009-11-XX	Human	USA	GU445325
KC175348	Hu/Norwalk/10078/2009/VNM	NA	2009-06-10	Human	Vietnam	KC175348
HM748972	Hu/GII.4/NSW881Z/2009/AU	NA	2009-XX-XX	Human	Australia	HM748972
JX989075	Hu/GII.6/GZ2010_L96/Guangzhou/CHN/2011	NA	2011-01-14	Human	China	JX989075
KC175344	Hu/Norwalk/10054/2009/VNM	NA	2009-05-21	Human	Vietnam	KC175344
KC960611	Hu/GII.4/20384/2010/VNM	NA	2010-01-12	Human	Vietnam	KC960611
JN400616	UNKNOWN_JN400616	NA	2008-10-03	Human	Taiwan	JN400616
KJ194507	NV_Amsterdam_3_1995	NA	1995-01-30	Human	Netherlands	KJ194507
KC409309	Hu/GII/30113/2009/VNM	NA	2009-07-08	Human	Vietnam	KC409309
KC175347	Hu/Norwalk/10075/2009/VNM	NA	2009-06-09	Human	Vietnam	KC175347
KC409248	Hu/GII/20107/2009/VNM	NA	2009-08-20	Human	Vietnam	KC409248
KC409240	Hu/GII/10370/2010/VNM	NA	2010-03-17	Human	Vietnam	KC409240
JX126912	Hu/GII.4/Ohio/7I/2012/USA	NA	2012-XX-XX	Human	USA	JX126912
GQ845368	Hu/GII.4/NSW505G/2007/AU	NA	2007-XX-XX	Human	Australia	GQ845368
KC175351	Hu/Norwalk/10114/2009/VNM	NA	2009-07-08	Human	Vietnam	KC175351
KC175369	Hu/Norwalk/10194/2009/VNM	NA	2009-10-12	Human	Vietnam	KC175369
JX289822	Hu/GII.1/7EK/Hawaii/1971/USA	NA	1971-XX-XX	Human	USA	JX289822
KC409272	Hu/GII/20192/2009/VNM	NA	2009-10-07	Human	Vietnam	KC409272
JN400612	UNKNOWN_JN400612	NA	2007-01-03	Human	Taiwan	JN400612
GQ845367	Hu/GII.4/Orange/NSW001P/2008/AU	NA	2008-XX-XX	Human	Australia	GQ845367
KC409277	Hu/GII/20206/2009/VNM	NA	2009-10-13	Human	Vietnam	KC409277
JQ911596	Hu/GII/10003/2009/VNM	NA	2009-04-05	Human	Vietnam	JQ911596
KC409270	Hu/GII/20189/2009/VNM	NA	2009-10-06	Human	Vietnam	KC409270
JN400607	UNKNOWN_JN400607	NA	2006-11-05	Human	Taiwan	JN400607
